[INIT] Loaded 19 registry anchors for exclusion.
[SCAN] Processing 139 chapter files.

================================================================================
CANDIDATE PROPER NOUNS (>= 3 chapters | registry excluded)
================================================================================
First                     |  86 files | e.g., book_01_book_of_genesis_002_molten_descent.md
Then                      |  63 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
Earth                     |  62 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Giants                    |  51 files | e.g., book_01_book_of_genesis_002_molten_descent.md
Keeper                    |  51 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Needle                    |  50 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Queen                     |  50 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Spire                     |  43 files | e.g., book_06_the_ragnarok_032_the_redo.md
Giant                     |  41 files | e.g., book_01_book_of_genesis_002_molten_descent.md
Mika                      |  41 files | e.g., book_05_the_nameless_one_024_the_first_spark.md
Void                      |  40 files | e.g., book_04_sage_saga_016_the_choice_third_coming.md
Keepers                   |  36 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Luminaire                 |  36 files | e.g., book_06_the_ragnarok_034_the_250.md
Not                       |  36 files | e.g., book_04_sage_saga_020_the_collapse.md
Yes                       |  35 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Aeon                      |  34 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Dragon                    |  34 files | e.g., book_03_the_reckoning_010_shadow_returns_second_coming.md
Ironspire                 |  33 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
Zephyr                    |  33 files | e.g., book_04_sage_saga_016_the_choice_third_coming.md
How                       |  30 files | e.g., book_01_book_of_genesis_002_molten_descent.md
Deep                      |  29 files | e.g., book_03_the_reckoning_009_stalemate_departure_the_first_coming.md
Coming                    |  28 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
Echo                      |  28 files | e.g., book_05_the_nameless_one_027_the_claiming.md
Day                       |  27 files | e.g., book_01_book_of_genesis_003_first_contact.md
Keen                      |  27 files | e.g., book_04_sage_saga_021_the_first_lesson.md
Before                    |  26 files | e.g., book_04_sage_saga_018_the_wandering.md
Oreck                     |  26 files | e.g., book_05_the_nameless_one_026_dragonmail.md
Tongue                    |  26 files | e.g., book_01_book_of_genesis_003_first_contact.md
Year                      |  26 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
Green                     |  25 files | e.g., book_01_book_of_genesis_004_the_convergence.md
Isla                      |  25 files | e.g., book_11_blood_and_legacy_060_echoes_of_the_cradle.md
Nexus                     |  25 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
Zaron                     |  25 files | e.g., book_05_the_nameless_one_026_dragonmail.md
Lyra                      |  24 files | e.g., book_06_the_ragnarok_031_the_crash_site.md
Second                    |  24 files | e.g., book_02_age_of_servitude_007_the_needle_construction.md
Shadow                    |  24 files | e.g., book_03_the_reckoning_010_shadow_returns_second_coming.md
Crimson                   |  23 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Fifth                     |  23 files | e.g., book_03_the_reckoning_009_stalemate_departure_the_first_coming.md
Moon                      |  23 files | e.g., book_09_bureaucratic_debt_054_tue_lunar_spire.md
Star                      |  23 files | e.g., book_06_the_ragnarok_032_the_redo.md
There                     |  23 files | e.g., book_04_sage_saga_022_final_calculation.md
End                       |  22 files | e.g., book_01_book_of_genesis_002_molten_descent.md
Forest                    |  22 files | e.g., book_01_book_of_genesis_004_the_convergence.md
Kael                      |  22 files | e.g., book_05_the_nameless_one_026_dragonmail.md
Chamber                   |  21 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Dawn                      |  21 files | e.g., book_05_the_nameless_one_024_the_first_spark.md
Guardian                  |  21 files | e.g., book_05_the_nameless_one_027_the_claiming.md
Mail                      |  21 files | e.g., book_05_the_nameless_one_027_the_claiming.md
Red                       |  21 files | e.g., book_08_the_vigil_of_the_anchor_043_the_badlands_crucible.md
Resonance                 |  21 files | e.g., book_04_sage_saga_021_the_first_lesson.md
Anchor                    |  20 files | e.g., book_06_the_ragnarok_034_the_250.md
Enlil                     |  20 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Ethereal                  |  20 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Garden                    |  20 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Mikas                     |  20 files | e.g., book_09_bureaucratic_debt_048_the_ledger_born.md
Sun                       |  20 files | e.g., book_03_the_reckoning_011_escalation_and_desperation.md
Sundrift                  |  20 files | e.g., book_06_the_ragnarok_033_the_march.md
Sera                      |  19 files | e.g., book_06_the_ragnarok_033_the_march.md
Silence                   |  19 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Stone                     |  19 files | e.g., book_03_the_reckoning_011_escalation_and_desperation.md
Blood                     |  18 files | e.g., book_06_the_ragnarok_033_the_march.md
Temporal                  |  18 files | e.g., book_04_sage_saga_021_the_first_lesson.md
Thang                     |  18 files | e.g., book_10_infernal_vigil_059_eyes_of_eternity.md
Blue                      |  17 files | e.g., book_05_the_nameless_one_026_dragonmail.md
Kingdom                   |  17 files | e.g., book_09_bureaucratic_debt_054_tue_lunar_spire.md
Nephilim                  |  17 files | e.g., book_02_age_of_servitude_007_the_needle_construction.md
Return                    |  17 files | e.g., book_05_the_nameless_one_027_the_claiming.md
Rongtai                   |  17 files | e.g., book_10_infernal_vigil_059_eyes_of_eternity.md
Thread                    |  17 files | e.g., book_20_the_discordant_pulse_south_103_the_second_song_resonance_of_a_broken_needle.md
Through                   |  17 files | e.g., book_03_the_reckoning_014_convergence.md
Tiamat                    |  17 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Akashic                   |  16 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
All                       |  16 files | e.g., book_02_age_of_servitude_007_the_needle_construction.md
Another                   |  16 files | e.g., book_04_sage_saga_018_the_wandering.md
Applicator                |  16 files | e.g., book_05_the_nameless_one_024_the_first_spark.md
Because                   |  16 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
Keth                      |  16 files | e.g., book_22_listening_stone_south_115_the_shape_of_asking.txt
Morning                   |  16 files | e.g., book_03_the_reckoning_009_stalemate_departure_the_first_coming.md
Reptilian                 |  16 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Shore                     |  16 files | e.g., book_19_worthy_opponents_north_099_the_final_breath.md
Spires                    |  16 files | e.g., book_06_the_ragnarok_034_the_250.md
Sundering                 |  16 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
When                      |  16 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
Commander                 |  15 files | e.g., book_04_sage_saga_017_niburu_shadow.md
Convergence               |  15 files | e.g., book_01_book_of_genesis_003_first_contact.md
Graviton                  |  15 files | e.g., book_07_light_resonance_and_the_function_041_the_tripartite_bond.md
Light                     |  15 files | e.g., book_05_the_nameless_one_027_the_claiming.md
Mountain                  |  15 files | e.g., book_01_book_of_genesis_004_the_convergence.md
Phase                     |  15 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Prime                     |  15 files | e.g., book_01_book_of_genesis_002_molten_descent.md
Realm                     |  15 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Tidecaller                |  15 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
Violet                    |  15 files | e.g., book_09_bureaucratic_debt_048_the_ledger_born.md
Gruulith                  |  14 files | e.g., book_03_the_reckoning_010_shadow_returns_second_coming.md
Guild                     |  14 files | e.g., book_09_bureaucratic_debt_054_tue_lunar_spire.md
Legion                    |  14 files | e.g., book_06_the_ragnarok_032_the_redo.md
Mars                      |  14 files | e.g., book_07_light_resonance_and_the_function_038_luminaire_keeper.md
Now                       |  14 files | e.g., book_01_book_of_genesis_002_molten_descent.md
Overseer                  |  14 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Sage                      |  14 files | e.g., book_04_sage_saga_017_niburu_shadow.md
Tidecallers               |  14 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
Around                    |  13 files | e.g., book_01_book_of_genesis_003_first_contact.md
Behind                    |  13 files | e.g., book_07_light_resonance_and_the_function_041_the_tripartite_bond.md
Below                     |  13 files | e.g., book_07_light_resonance_and_the_function_039_jungle_fever.md
Brak                      |  13 files | e.g., book_22_listening_stone_south_115_the_shape_of_asking.txt
Heart                     |  13 files | e.g., book_06_the_ragnarok_035_sands_of_time.md
Highland                  |  13 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
Pattern                   |  13 files | e.g., book_06_the_ragnarok_034_the_250.md
Threshold                 |  13 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
Time                      |  13 files | e.g., book_04_sage_saga_023_beyond_identity.md
ACT                       |  12 files | e.g., book_08_the_vigil_of_the_anchor_042_the_verdant_crossing.md
Brajor                    |  12 files | e.g., book_03_the_reckoning_010_shadow_returns_second_coming.md
Flame                     |  12 files | e.g., book_03_the_reckoning_014_convergence.md
Grove                     |  12 files | e.g., book_15_legends_and_gods_081_mr_gpt_arrival.md
High                      |  12 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
III                       |  12 files | e.g., book_08_the_vigil_of_the_anchor_046_not_like_this.md
Memory                    |  12 files | e.g., book_01_book_of_genesis_004_the_convergence.md
Month                     |  12 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Network                   |  12 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
Nibiru                    |  12 files | e.g., book_04_sage_saga_017_niburu_shadow.md
TIME                      |  12 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Torrhen                   |  12 files | e.g., book_03_the_reckoning_012_nephilim_summoning.md
Without                   |  12 files | e.g., book_05_the_nameless_one_028_ragnarok.md
Annunaki                  |  11 files | e.g., book_06_the_ragnarok_036_highland_giants.md
Ash                       |  11 files | e.g., book_03_the_reckoning_010_shadow_returns_second_coming.md
Eduhauana                 |  11 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Jump                      |  11 files | e.g., book_06_the_ragnarok_036_highland_giants.md
Mages                     |  11 files | e.g., book_09_bureaucratic_debt_054_tue_lunar_spire.md
Nammu                     |  11 files | e.g., book_22_listening_stone_south_113_the_edge_of_return.txt
Nefretti                  |  11 files | e.g., book_08_the_vigil_of_the_anchor_042_the_verdant_crossing.md
New                       |  11 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
Recognition               |  11 files | e.g., book_04_sage_saga_023_beyond_identity.md
Records                   |  11 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Ridge                     |  11 files | e.g., book_08_the_vigil_of_the_anchor_047_mika.md
Third                     |  11 files | e.g., book_03_the_reckoning_012_nephilim_summoning.md
