CANDIDATE PROPER NOUNS (>= 3 chapters | registry excluded)
================================================================================
[TOKEN]    It's                           |  75 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    They're                        |  66 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    That's                         |  63 files | e.g., book_01_book_of_genesis_002_molten_descent.md
[TOKEN]    Then                           |  59 files | e.g., book_03_the_reckoning_009_stalemate_departure_the_first_coming.md
[TOKEN]    Earth                          |  57 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    I'm                            |  56 files | e.g., book_03_the_reckoning_009_stalemate_departure_the_first_coming.md
[TOKEN]    We're                          |  52 files | e.g., book_01_book_of_genesis_003_first_contact.md
[TOKEN]    Giants                         |  51 files | e.g., book_01_book_of_genesis_002_molten_descent.md
[TOKEN]    You're                         |  49 files | e.g., book_03_the_reckoning_014_convergence.md
[TOKEN]    Keeper                         |  48 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Queen                          |  47 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    I've                           |  43 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Spire                          |  43 files | e.g., book_06_the_ragnarok_032_the_redo.md
[TOKEN]    Needle                         |  42 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Mika                           |  41 files | e.g., book_05_the_nameless_one_024_the_first_spark.md
[TOKEN]    Giant                          |  40 files | e.g., book_01_book_of_genesis_002_molten_descent.md
[TOKEN]    Void                           |  40 files | e.g., book_04_sage_saga_016_the_choice_third_coming.md
[TOKEN]    Five                           |  39 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    I'll                           |  39 files | e.g., book_04_sage_saga_019_the_sacrafice.md
[TOKEN]    Keepers                        |  36 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    One                            |  36 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Aeon                           |  34 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Dragon                         |  34 files | e.g., book_03_the_reckoning_010_shadow_returns_second_coming.md
[TOKEN]    Yes                            |  34 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Three                          |  32 files | e.g., book_02_age_of_servitude_007_the_needle_construction.md
[TOKEN]    Zephyr                         |  32 files | e.g., book_04_sage_saga_016_the_choice_third_coming.md
[TOKEN]    How                            |  30 files | e.g., book_01_book_of_genesis_002_molten_descent.md
[TOKEN]    We've                          |  30 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Deep                           |  29 files | e.g., book_03_the_reckoning_009_stalemate_departure_the_first_coming.md
[TOKEN]    Earth's                        |  29 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Ironspire                      |  29 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
[TOKEN]    Queen's                        |  29 files | e.g., book_02_age_of_servitude_007_the_needle_construction.md
[TOKEN]    Echo                           |  28 files | e.g., book_05_the_nameless_one_027_the_claiming.md
[TOKEN]    There's                        |  28 files | e.g., book_05_the_nameless_one_026_dragonmail.md
[TOKEN]    Coming                         |  27 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
[TOKEN]    Day                            |  27 files | e.g., book_01_book_of_genesis_003_first_contact.md
[TOKEN]    Before                         |  26 files | e.g., book_04_sage_saga_018_the_wandering.md
[TOKEN]    Keen                           |  26 files | e.g., book_04_sage_saga_021_the_first_lesson.md
[TOKEN]    Luminaire                      |  26 files | e.g., book_06_the_ragnarok_034_the_250.md
[TOKEN]    Needle's                       |  26 files | e.g., book_02_age_of_servitude_007_the_needle_construction.md
[TOKEN]    Oreck                          |  26 files | e.g., book_05_the_nameless_one_026_dragonmail.md
[TOKEN]    Tongue                         |  26 files | e.g., book_01_book_of_genesis_003_first_contact.md
[TOKEN]    Year                           |  26 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
[TOKEN]    You've                         |  26 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
[PHRASE]   Aeon Keepers                   |  25 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    We'll                          |  25 files | e.g., book_01_book_of_genesis_003_first_contact.md
[TOKEN]    Geralt's                       |  24 files | e.g., book_05_the_nameless_one_026_dragonmail.md
[TOKEN]    Isla                           |  24 files | e.g., book_11_blood_and_legacy_060_echoes_of_the_cradle.md
[TOKEN]    Lyra                           |  24 files | e.g., book_06_the_ragnarok_031_the_crash_site.md
[TOKEN]    Nexus                          |  24 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
[TOKEN]    Shadow                         |  24 files | e.g., book_03_the_reckoning_010_shadow_returns_second_coming.md
[TOKEN]    Zephyr's                       |  24 files | e.g., book_04_sage_saga_016_the_choice_third_coming.md
[TOKEN]    Don't                          |  23 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
[TOKEN]    Star                           |  23 files | e.g., book_06_the_ragnarok_032_the_redo.md
[TOKEN]    Zaron                          |  23 files | e.g., book_05_the_nameless_one_026_dragonmail.md
[PHRASE]   Void Spire                     |  22 files | e.g., book_06_the_ragnarok_036_highland_giants.md
[TOKEN]    Forest                         |  22 files | e.g., book_01_book_of_genesis_004_the_convergence.md
[TOKEN]    Mika's                         |  22 files | e.g., book_05_the_nameless_one_027_the_claiming.md
[TOKEN]    There                          |  22 files | e.g., book_04_sage_saga_022_final_calculation.md
[PHRASE]   Dragon Mail                    |  21 files | e.g., book_05_the_nameless_one_027_the_claiming.md
[TOKEN]    Chamber                        |  21 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Dawn                           |  21 files | e.g., book_05_the_nameless_one_024_the_first_spark.md
[TOKEN]    End                            |  21 files | e.g., book_01_book_of_genesis_002_molten_descent.md
[TOKEN]    Kael                           |  21 files | e.g., book_05_the_nameless_one_026_dragonmail.md
[TOKEN]    Mail                           |  21 files | e.g., book_05_the_nameless_one_027_the_claiming.md
[TOKEN]    Moon                           |  21 files | e.g., book_09_bureaucratic_debt_054_tue_lunar_spire.md
[TOKEN]    Resonance                      |  21 files | e.g., book_04_sage_saga_021_the_first_lesson.md
[TOKEN]    Vale's                         |  21 files | e.g., book_21_needle_and_thread_south_109_the_thread_and_cage.txt
[TOKEN]    Anchor                         |  20 files | e.g., book_06_the_ragnarok_034_the_250.md
[TOKEN]    Garden                         |  20 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Guardian                       |  20 files | e.g., book_05_the_nameless_one_027_the_claiming.md
[TOKEN]    Luminaire's                    |  20 files | e.g., book_07_light_resonance_and_the_function_041_the_tripartite_bond.md
[TOKEN]    Mikas                          |  20 files | e.g., book_09_bureaucratic_debt_048_the_ledger_born.md
[TOKEN]    Sundrift                       |  20 files | e.g., book_06_the_ragnarok_033_the_march.md
[TOKEN]    They'll                        |  20 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
[TOKEN]    They've                        |  20 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Enlil                          |  19 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Keen's                         |  19 files | e.g., book_11_blood_and_legacy_060_echoes_of_the_cradle.md
[TOKEN]    Silence                        |  19 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Stone                          |  19 files | e.g., book_03_the_reckoning_011_escalation_and_desperation.md
[TOKEN]    Sun                            |  19 files | e.g., book_03_the_reckoning_011_escalation_and_desperation.md
[TOKEN]    Tran's                         |  19 files | e.g., book_11_blood_and_legacy_060_echoes_of_the_cradle.md
[TOKEN]    You'll                         |  19 files | e.g., book_04_sage_saga_019_the_sacrafice.md
[PHRASE]   Aeon Keeper                    |  18 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[PHRASE]   Star Needle                    |  18 files | e.g., book_06_the_ragnarok_032_the_redo.md
[TOKEN]    Anunnaki's                     |  18 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Blood                          |  18 files | e.g., book_06_the_ragnarok_033_the_march.md
[TOKEN]    Ethereal                       |  18 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Giant's                        |  18 files | e.g., book_01_book_of_genesis_002_molten_descent.md
[TOKEN]    Igigi's                        |  18 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
[TOKEN]    Sera                           |  18 files | e.g., book_06_the_ragnarok_033_the_march.md
[TOKEN]    Two                            |  18 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    I'd                            |  17 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
[TOKEN]    Ironspire's                    |  17 files | e.g., book_08_the_vigil_of_the_anchor_047_mika.md
[TOKEN]    Nephilim                       |  17 files | e.g., book_02_age_of_servitude_007_the_needle_construction.md
[TOKEN]    Return                         |  17 files | e.g., book_05_the_nameless_one_027_the_claiming.md
[TOKEN]    She's                          |  17 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Something's                    |  17 files | e.g., book_01_book_of_genesis_004_the_convergence.md
[TOKEN]    Temporal                       |  17 files | e.g., book_04_sage_saga_021_the_first_lesson.md
[TOKEN]    Thang                          |  17 files | e.g., book_10_infernal_vigil_059_eyes_of_eternity.md
[TOKEN]    Thread                         |  17 files | e.g., book_20_the_discordant_pulse_south_103_the_second_song_resonance_of_a_broken_needle.md
[TOKEN]    Through                        |  17 files | e.g., book_03_the_reckoning_014_convergence.md
[PHRASE]   Forest Giants                  |  16 files | e.g., book_01_book_of_genesis_004_the_convergence.md
[TOKEN]    Akashic                        |  16 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Didn't                         |  16 files | e.g., book_01_book_of_genesis_003_first_contact.md
[TOKEN]    He's                           |  16 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
[TOKEN]    Morning                        |  16 files | e.g., book_03_the_reckoning_009_stalemate_departure_the_first_coming.md
[TOKEN]    Oreck's                        |  16 files | e.g., book_05_the_nameless_one_027_the_claiming.md
[TOKEN]    Reptilian                      |  16 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Rongtai                        |  16 files | e.g., book_10_infernal_vigil_059_eyes_of_eternity.md
[TOKEN]    Shore                          |  16 files | e.g., book_19_worthy_opponents_north_099_the_final_breath.md
[TOKEN]    Spires                         |  16 files | e.g., book_06_the_ragnarok_034_the_250.md
[TOKEN]    Sundering                      |  16 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
[TOKEN]    All                            |  15 files | e.g., book_02_age_of_servitude_007_the_needle_construction.md
[TOKEN]    Applicator                     |  15 files | e.g., book_05_the_nameless_one_024_the_first_spark.md
[TOKEN]    Because                        |  15 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
[TOKEN]    Commander                      |  15 files | e.g., book_04_sage_saga_017_niburu_shadow.md
[TOKEN]    Convergence                    |  15 files | e.g., book_01_book_of_genesis_003_first_contact.md
[TOKEN]    Enlil's                        |  15 files | e.g., book_03_the_reckoning_015_betrayal.md
[TOKEN]    Graviton                       |  15 files | e.g., book_07_light_resonance_and_the_function_041_the_tripartite_bond.md
[TOKEN]    Isla's                         |  15 files | e.g., book_11_blood_and_legacy_060_echoes_of_the_cradle.md
[TOKEN]    Keth                           |  15 files | e.g., book_22_listening_stone_south_115_the_shape_of_asking.txt
